,Segment ID,MediaCom Audience Name,Country,Business Unit,Audience Source,created_date,Placements Count,Segment Used
461,deb8x7i2brj,targeting-sbdmhighspenders_us-csbo-sb_3pofftheshelf_neustar-180-alnt_be/co/in,us,csbo-sb,Neustar,2023-05-11 14:22:49,0.0,False
462,d1if6ssml74,targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-180-ada-cli_be/em/im,us,csbo-csb,Neustar,2023-05-11 14:22:49,0.0,False
463,dktqvbu4q0i,targeting-sbdm_us-csbo-sb_3pofftheshelf_neustar-180-ads_de/im,us,csbo-sb,Neustar,2023-05-11 14:22:49,0.0,False
464,ds4bs4kv8ze,targeting-largeserver_us-csbo-sb_3pofftheshelf_neustar-180_fi/im,us,csbo-sb,Neustar,2023-05-11 14:22:49,0.0,False
465,dy0dga0dxv0,targeting-dellcomputerconquesting_us-csbo-sb_3pofftheshelf_neustar-ada-dat_fi/im,us,csbo-sb,Neustar,2023-05-11 14:22:49,0.0,False
466,d1ud7p31upw,targeting-collegestudents_us-csbo-con_3pofftheshelf_neustar-ada-aiq_de/im,us,csbo-con,Neustar,2023-05-11 14:22:49,0.0,False
467,d6ojvyrysnx,targeting-smallbusinessdevelopmentmanagerconsumers_us-csbo-gseries_3pofftheshelf_neustar-180-33a_em/fi,us,csbo-gseries,Neustar,2023-05-11 17:04:47,0.0,False
468,dehujn0weoe,targeting-serverusers_us-csbo-sb_3pofftheshelf_neustar-180_be/in,us,csbo-sb,Neustar,2023-05-11 17:04:47,0.0,False
469,dwiwdjr93ei,targeting-inmarketforservers_us-csbo-sb_3pofftheshelf_neustar-180_de/im,us,csbo-sb,Neustar,2023-05-11 17:04:47,0.0,False
470,d1z500sdlwv,targeting-genxers_us-csbo-con_3pofftheshelf_neustar-ada_be/im,us,csbo-con,Neustar,2023-05-15 06:23:18,0.0,False
471,dotzvpm1v4l,targeting-charitabledonations_us-csbo-con_3pofftheshelf_neustar-ada_co/im/in,us,csbo-con,Neustar,2023-05-15 06:23:18,0.0,False
472,d9shz29jgoy,targeting-humanitarianandclimatechange_us-csbo-con_3pofftheshelf_neustar-ada_be/ge/im/in,us,csbo-con,Neustar,2023-05-15 06:23:18,0.0,False
473,dj5cwtvu9iw,targeting-millenials_us-csbo-con_3pofftheshelf_neustar-ada_be/im/in,us,csbo-con,Neustar,2023-05-15 06:23:18,0.0,False
474,dlfq0z8z2mr,targeting-parents_us-csbo-con_3pofftheshelf_neustar-ada_im/in,us,csbo-con,Neustar,2023-05-15 06:23:18,0.0,False
475,dp35fwnup75,targeting-collegegraduates_us-csbo-con_3pofftheshelf_neustar-ada_de/im,us,csbo-con,Neustar,2023-05-15 06:23:18,0.0,False
476,db683agd73e,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,us,csbo-con,Neustar,2023-05-15 06:23:18,0.0,False
477,d3ww01h66si,targeting-collegegraduatesindividuals_us-csbo-con_3pofftheshelf_neustar-ada_co/de,us,csbo-con,Neustar,2023-05-15 06:23:18,0.0,False
478,dnqo1w28qtq,targeting-esportsenthusiasts_us-csbo-gseries_3pofftheshelf_neustar-ada_be/in,us,csbo-gseries,Neustar,2023-05-15 06:23:18,0.0,False
479,d8cd90rl8jc,targeting-usgaminggamer_us-csbo-gseries_3pofftheshelf_neustar-ada_be/im/in,us,csbo-gseries,Neustar,2023-05-15 06:23:18,14.0,True
480,dppeal2cucj,targeting-gamingfanatics_us-csbo-gseries_3pofftheshelf_neustar-ada_be/in,us,csbo-gseries,Neustar,2023-05-15 06:23:18,0.0,False
481,dfxuc6a6zf9,targeting-sbdmhighspenders_us-csbo-sb_3pofftheshelf_neustar-ada_be/co/in,us,csbo-sb,Neustar,2023-05-15 06:23:18,0.0,False
482,dvdas28yw8j,targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-ada_be/em/im,us,csbo-csb,Neustar,2023-05-15 06:23:18,199.0,True
483,dnhsqkp1y19,targeting-sbdm_us-csbo-sb_3pofftheshelf_neustar-ada_de/im,us,csbo-sb,Neustar,2023-05-15 06:23:18,0.0,False
484,du6y5nncy4v,targeting-largeserver_us-csbo-sb_3pofftheshelf_neustar-ada_fi/im,us,csbo-sb,Neustar,2023-05-15 06:23:18,0.0,False
485,dueq2n820t4,targeting-dellcomputerconquesting_us-csbo-sb_3pofftheshelf_neustar-ada_fi/im,us,csbo-sb,Neustar,2023-05-15 06:23:18,0.0,False
486,dscgevmyz6o,targeting-collegestudents_us-csbo-con_3pofftheshelf_neustar-ada_de/im,us,csbo-con,Neustar,2023-05-15 06:23:18,14.0,True
487,drvhfe14j7g,targeting-smallbusinessdevelopmentmanagerconsumers_us-csbo-gseries_3pofftheshelf_neustar-ada_em/fi,us,csbo-gseries,Neustar,2023-05-15 06:23:18,0.0,False
488,dnjz2q1wrjy,targeting-serverusers_us-csbo-sb_3pofftheshelf_neustar-ada_be/in,us,csbo-sb,Neustar,2023-05-15 06:23:18,0.0,False
489,db74037z6by,targeting-inmarketforservers_us-csbo-sb_3pofftheshelf_neustar-ada_de/im,us,csbo-sb,Neustar,2023-05-15 06:23:18,0.0,False
490,d9v0mrpt0ln,targeting-pcbuyer_us-csbo-con_1pcrm_neustar-ada_na,us,csbo-con,Neustar,2023-05-15 09:20:38,0.0,False
491,dmtmag45xfc,targeting-purchaseintent_us-csbo-con_1pcrm_neustar-ada_na,us,csbo-con,Neustar,2023-05-15 09:20:38,0.0,False
492,d2x1o6djjxv,targeting-domesticairflyers_us-csbo-con_3pofftheshelf_neustar-ada_ge/in,us,csbo-con,Neustar,2023-05-17 08:21:11,0.0,False
493,dkvz8pgx0yy,targeting-itdmlessthan100employees_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi,us,csbo-sb,Neustar,2023-05-17 08:21:11,199.0,True
494,d2ma5ft3z10,targeting-soho_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi,us,csbo-sb,Neustar,2023-05-17 08:21:11,0.0,False
495,dxz053s643c,targeting-dellpurchaseintent_us-csbo-con_3pofftheshelf_neustar-ada_be/im/in,us,csbo-con,Neustar,2023-05-17 08:21:11,0.0,False
496,d549ds8sdlj,targeting-tvlovers_us-csbo-sb_3pofftheshelf_neustar-ada_be/in,us,csbo-sb,Neustar,2023-05-17 10:54:52,0.0,False
497,dj5htlhl6oh,targeting-restaurants_us-csbo-sb_3pofftheshelf_neustar-ada_fi/im,us,csbo-sb,Neustar,2023-05-17 10:54:52,0.0,False
498,d38j6fwwxp5,targeting-accountants_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi/im/in,us,csbo-sb,Neustar,2023-05-17 10:54:52,0.0,False
499,dxb32xides4,targeting-architects_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi/in,us,csbo-sb,Neustar,2023-05-17 10:54:52,0.0,False
500,dyqs3itvwlx,targeting-highschooling_us-csbo-con_3pofftheshelf_liveramp-skyd_in,us,csbo-con,Liveramp,2023-06-05 10:01:35,0.0,False
501,dy5kw2cztcj,targeting-middleschooling_us-csbo-con_3pofftheshelf_liveramp-skyd_in,us,csbo-con,Liveramp,2023-06-05 10:01:35,0.0,False
502,d4tczm6xp1j,targeting-medicalstudents_us-csbo-con_3pofftheshelf_liveramp-123_in,us,csbo-con,Liveramp,2023-06-05 10:01:35,0.0,False
503,duvgvgxeser,targeting-highschoolersmobile_us-csbo-con_3pofftheshelf_liveramp-dst_in,us,csbo-con,Liveramp,2023-06-05 10:01:35,0.0,False
504,dqcgkf2ve59,targeting-highschoolersweb_us-csbo-con_3pofftheshelf_liveramp-dst_in,us,csbo-con,Liveramp,2023-06-05 10:01:35,0.0,False
