,Campaign,BU,"Display Tactic (Display, Video, CTV etc.)",Partner,Targeting Type,Audience ID,"Deilvery ID
(to find Oracle DMP deliveries)",Audience Name,Audience Description,Audience Priority,Audience Size,ABM Accounts #,CRM,Data Provider,Retargeting (Stage 2),Audience Type,Programmatic,Launch Status,3P ABM delivery,CEP ABM Accounts #,AIQ IDS,AIQ Account size,AIQ Hashed email count size,AIQ Match Rate,Bombora Unique Domains,# of matched domains,Bombora Match Rate,AIQ Email Count,"Display Tactic (Display, Video, CTV etc.) ","Delivery ID
(for Oracle only)",Data CPM,Audience Category,Status (activated/deactivated dates)
67,APJ LTBM_X v1 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dmpxndjn3s0,,abm-apjq1ltbmxpremier_anz-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,1703.0,428922.0,1700.0,,0.9982384028185555,,,,35703.0,,,,,
68,APJ LTBM_X v1 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dj50sl7jvvs,,abm-apjq1ltbmxpremier_in-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,726.0,428925.0,725.0,,0.9986225895316805,,,,12010.0,,,,,
69,APJ LTBM_X v1 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dmaltw837cl,,abm-apjq1ltbmxpremier_jp-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,3824.0,429032.0,3818.0,,0.9984309623430963,,,,42808.0,,,,,
70,APJ LTBM_X v1 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,d204gf1supn,,abm-apjq1ltbmxpremier_kr-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,127.0,428959.0,127.0,,1.0,,,,1047.0,,,,,
71,APJ LTBM_X v1 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,ddc2nxxlp6j,,abm-apjq1ltbmxpremier_my-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,389.0,428998.0,388.0,,0.9974293059125964,,,,4714.0,,,,,
72,APJ LTBM_X v1 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dmv6ua3epmm,,abm-apjq1ltbmxpremier_sg-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,523.0,429045.0,518.0,,0.9904397705544933,,,,6524.0,,,,,
73,APJ LTBM_X v1 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,d7eaumxzol3,,abm-apjq1ltbmxnonpremier_anz-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,2835.0,428918.0,2574.0,,0.9079365079365079,,,,123486.0,,,,,
74,APJ LTBM_X v1 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,d4ejp3cwe11,,abm-apjq1ltbmxnonpremier_in-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,14369.0,428923.0,14077.0,,0.9796784744937017,,,,268824.0,,,,,
75,APJ LTBM_X v1 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dc3y9zc9kip,,abm-apjq1ltbmxnonpremier_jp-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,54160.0,428941.0,39160.0,,0.7230428360413589,,,,307052.0,,,,,
76,APJ LTBM_X v1 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,d1l9b6wksvh,,abm-apjq1ltbmxnonpremier_kr-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,3172.0,428956.0,3127.0,,0.9858133669609079,,,,80495.0,,,,,
77,APJ LTBM_X v1 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dik87las0bb,,abm-apjq1ltbmxnonpremier_my-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,1631.0,428994.0,1598.0,,0.979767014101778,,,,47568.0,,,,,
78,APJ LTBM_X v1 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,d38tmmw7hep,,abm-apjq1ltbmxnonpremier_sg-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,2182.0,429042.0,2090.0,,0.9578368469294225,,,,73959.0,,,,,
79,APJ LTBM_X v1 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dtg9bu5imjn,,abm-apjq1ltbmxnonpremier_anz-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,1559.0,428920.0,1519.0,,0.9743425272610647,,,,25192.0,,,,,
80,APJ LTBM_X v1 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dx8eppo95lu,,abm-apjq1ltbmxnonpremier_in-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,2539.0,428924.0,2511.0,,0.9889720362347381,,,,24484.0,,,,,
81,APJ LTBM_X v1 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dbvs4tf8ugx,,abm-apjq1ltbmxnonpremier_jp-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,9043.0,428938.0,8943.0,,0.9889417228795754,,,,59653.0,,,,,
82,APJ LTBM_X v1 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,d73p2n23cxq,,abm-apjq1ltbmxnonpremier_kr-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,3517.0,428957.0,3505.0,,0.9965880011373329,,,,20854.0,,,,,
83,APJ LTBM_X v1 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dvsnsupjoha,,abm-apjq1ltbmxnonpremier_my-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,2283.0,428995.0,2278.0,,0.9978098992553658,,,,19140.0,,,,,
84,APJ LTBM_X v1 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,do2sme7gfk4,,abm-apjq1ltbmxnonpremier_sg-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,2077.0,429043.0,2043.0,,0.9836302359171882,,,,17752.0,,,,,
85,APJ LTBM_X v2 Premier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dz2e3d0hsss,,abm-apjq1ltbmxv2premier_anz-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,1093.0,429975.0,1075.0,,0.9835315645013724,,,,169879.0,,,,,
86,APJ LTBM_X v2 Premier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dbh6mvj9jqo,,abm-apjq1ltbmxv2premier_in-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,1674.0,429980.0,1669.0,,0.9970131421744325,,,,139703.0,,,,,
87,APJ LTBM_X v2 Premier TXL,CE,Display/Video,DV360 / TTD,3P ABM,daqtwbsy5dd,,abm-apjq1ltbmxv2premier_jp-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,5001.0,429988.0,4988.0,,0.9974005198960207,,,,103112.0,,,,,
88,APJ LTBM_X v2 Premier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dy4j5a6fxkq,,abm-apjq1ltbmxv2premier_kr-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,79.0,429985.0,77.0,,0.9746835443037974,,,,4966.0,,,,,
89,APJ LTBM_X v2 Premier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dh5ma9jo9xx,,abm-apjq1ltbmxv2premier_my-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,1085.0,429992.0,226.0,,0.20829493087557605,,,,13966.0,,,,,
