,Campaign,BU,"Display Tactic (Display, Video, CTV etc.)",Partner,Targeting Type,Audience ID,"Deilvery ID
(to find Oracle DMP deliveries)",Audience Name,Audience Description,Audience Priority,Audience Size,ABM Accounts #,CRM,Data Provider,Retargeting (Stage 2),Audience Type,Programmatic,Launch Status,3P ABM delivery,CEP ABM Accounts #,AIQ IDS,AIQ Account size,AIQ Hashed email count size,AIQ Match Rate,Bombora Unique Domains,# of matched domains,Bombora Match Rate,AIQ Email Count,"Display Tactic (Display, Video, CTV etc.) ","Delivery ID
(for Oracle only)",Data CPM,Audience Category,Status (activated/deactivated dates)
100,APJ LTBM_X v2 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dlv0gsf44v0,,abm-apjq1ltbmxv2nonpremier_kr-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,3912.0,429983.0,3843.0,,0.9823619631901841,,,,84241.0,,,,,
101,APJ LTBM_X v2 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,d2hu1fdzuo4,,abm-apjq1ltbmxv2nonpremier_my-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,18450.0,429990.0,1753.0,,0.09501355013550135,,,,48937.0,,,,,
102,APJ LTBM_X v2 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dq114sqjevm,,abm-apjq1ltbmxv2nonpremier_sg-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,15482.0,429994.0,2591.0,,0.16735563880635576,,,,81078.0,,,,,
103,APJ LTBM_X v2 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,d2x6ai17zrw,,abm-apjq1ltbmxv2nonpremier_anz-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,3975.0,429976.0,3863.0,,0.9718238993710692,,,,44628.0,,,,,
104,APJ LTBM_X v2 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dn14pvwrvsk,,abm-apjq1ltbmxv2nonpremier_in-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,4632.0,429977.0,4511.0,,0.9738773747841105,,,,38588.0,,,,,
105,APJ LTBM_X v2 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,d3fs0a0ceih,,abm-apjq1ltbmxv2nonpremier_jp-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,12298.0,429982.0,12097.0,,0.9836558790047162,,,,71077.0,,,,,
106,APJ LTBM_X v2 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,daykogoymo6,,abm-apjq1ltbmxv2nonpremier_kr-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,16113.0,429999.0,15948.0,,0.9897598212623347,,,,53672.0,,,,,
107,APJ LTBM_X v2 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,d8nmdzx8maz,,abm-apjq1ltbmxv2nonpremier_my-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,5439.0,429991.0,5402.0,,0.9931972789115646,,,,32884.0,,,,,
108,APJ LTBM_X v2 NonPremier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dv33rcpcv0s,,abm-apjq1ltbmxv2nonpremier_sg-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,6493.0,429995.0,6287.0,,0.9682735253349761,,,,36069.0,,,,,
109,EMEA LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,d63wr11e2m9,,abm-fy25q1emealta_fr-b2b-com_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel Files,924.0,431291.0,838.0,31349.0,0.9069264069264069,,,,,,,,,
110,EMEA LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,dk5ig0td59f,,abm-fy25q1emealta_de-b2b-com_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel Files,3602.0,431286.0,3170.0,30114.0,0.8800666296501943,,,,,,,,,
111,EMEA LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,dqi2gm1mvo2,,abm-fy25q1emealta_uk-b2b-com_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel Files,1107.0,431287.0,949.0,34776.0,0.8572719060523939,,,,,,,,,
112,EMEA LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,dt3b7uj0nda,,abm-fy25q1emealta_fr-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel Files,7655.0,431288.0,6919.0,35342.0,0.9038536903984324,,,,,,,,,
113,EMEA LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,dvfyupidjp8,,abm-fy25q1emealta_de-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel Files,11196.0,431289.0,10119.0,53117.0,0.9038049303322615,,,,,,,,,
114,EMEA LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,du1yw1y7svm,,abm-fy25q1emealta_uk-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel Files,10771.0,431290.0,9990.0,75096.0,0.9274904837062483,,,,,,,,,
115,Engage,MB,,Quantcast,ABM,d46cnoo4j72,,targeting-abmltambfy25q1qc_us-mb_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of MB LTA ITDMs/BDMs,,7.1M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Video/Native,674075.0,2.0,ABM-3PD AUDIENCE,
116,,MB,,Quantcast,ABM,dfrckr67a89,,targeting-abmltxfy25q1qc_us-mb_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of MB LTX ITDMs/BDMs,,3.9M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Video/Native,,2.0,ABM-3PD AUDIENCE,
117,Engage,MB,,DV360,ABM,dmilc27mbts,,targeting-abmltambfy25q1dv_us-mb_3pabm_pubmatic-dab-eyta_em/fi,ABM audience consisting of MB LTA ITDMs/BDMs,,15.1M,,,Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Display/Video,,2.0,ABM-3PD AUDIENCE,
118,,MB,,DV360,ABM,d4gfyp2sh5b,,targeting-abmltxfy25q1dv_us-mb_3pabm_pubmatic-dab-eyta_em/fi,ABM audience consisting of MB LTX ITDMs/BDMs,,8.4M,,,Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Display/Video,,2.0,ABM-3PD AUDIENCE,
119,Engage,MB,,DV360,ABM,dn8v6gr1d7f,,targeting-abmmbfy25q1native_us-mb_3pabm_oracle-dab-eyta_em/fi,ABM audience consisting of MB LTA ITDMs/BDMs for Native placements,,6M,,,Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Native,675553.0,2.0,ABM-3PD AUDIENCE,
120,,MB,,DV360,ABM,dv7g7a3wcpm,,targeting-abmltxfy25q1native_us-mb_3pabm_oracle-dab-eyta_em/fi,ABM audience consisting of MB LTX ITDMs/BDMs for Native placements,,3.4M,,,Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Native,,2.0,ABM-3PD AUDIENCE,
121,Engage,MB,,TTD,ABM,diyir4l6fp2,,targeting-abmltambfy25q1ttd_us-mb_3pabm_oracle-33a-aiq-bom-equ-expr-lot-sht-strst-tns_em/fi,ABM audience consisting of MB LTA ITDMs/BDMs,,5M,,,33Across-AnalyticsIQ-Bombora-Equifax IXI-Experian-Lotame-ShareThis-Stirista-TransUnion,,,,,,,,,,,,,,,Display/Video,674079.0,2.0,ABM-3PD AUDIENCE,
122,,MB,,TTD,ABM,d11clhvr3bh,,targeting-abmltxfy25q1ttd_us-mb_3pabm_oracle-33a-aiq-bom-equ-expr-lot-sht-strst-tns_em/fi,ABM audience consisting of MB LTX ITDMs/BDMs,,2.8M,,,33Across-AnalyticsIQ-Bombora-Equifax IXI-Experian-Lotame-ShareThis-Stirista-TransUnion,,,,,,,,,,,,,,,Display/Video,,2.0,ABM-3PD AUDIENCE,
123,Engage,MB,,TTD,CRM,dzu5tp55fcq,,targeting-crmltambfy25q1_us-mb_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at MB LTA accounts,,580.6k,,,,,,,,,,,,,,,,,,Display/Video,,,CRM-1PD CRM,
124,,MB,,TTD,CRM,div7t4r3z90,,targeting-crmltxfy25q1_us-mb_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at MB LTX accounts,,1.9M,,,,,,,,,,,,,,,,,,Display/Video,,,CRM-1PD CRM,
125,Engage,MB,,Youtube,CRM,dcqqixfgl1d,,targeting-crmltambfy25q1yt_us-mb_1pcrm_liveramp-aiq_em,CRM audience consisting of Dell contacts at MB LTA accounts,,578.8k,,,,,,,,,,,,,,,,,,Video,,,CRM-1PD CRM,
126,,MB,,Youtube,CRM,dmdr9r95vza,,targeting-crmltxfy25q1yt_us-mb_1pcrm_liveramp-aiq_em,CRM audience consisting of Dell contacts at MB LTX accounts,,1.9M,,,,,,,,,,,,,,,,,,Video,,,CRM-1PD CRM,
127,Engage,CE,,Quantcast,ABM,d7scttwtlbb,,targeting-abmltacefy25q1qc_us-ce_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of CE LTA ITDMs/BDMs,,4.5M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Video,674083.0,2.0,ABM-3PD AUDIENCE,
128,,CE,,Quantcast,ABM,dto1pnd6zdx,,targeting-abmltxfy25q1qc_us-ce_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of CE LTX ITDMs/BDMs,,5.8M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Video,,2.0,ABM-3PD AUDIENCE,
129,Engage,CE,,DV360,ABM,duncyq06cun,,targeting-abmltacefy25q1dv_us-ce_3pabm_pubmatic-dab-eyta_em/fi,ABM audience consisting of CE LTA ITDMs/BDMs,,10.2M,,,Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Display/Video,,2.0,ABM-3PD AUDIENCE,
130,,CE,,DV360,ABM,d8to99beyae,,targeting-abmltxfy25q1dv_us-ce_3pabm_pubmatic-dab-eyta_em/fi,ABM audience consisting of CE LTX ITDMs/BDMs,,12.6M,,,Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Display/Video,,2.0,ABM-3PD AUDIENCE,
131,Engage,CE,,DV360,ABM,d2s909hq8my,,targeting-abmcefy25q1native_us-ce_3pabm_oracle-dab-eyta_em/fi,ABM audience consisting of CE LTA ITDMs/BDMs for Native placements,,6.9M,,,Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Native,675557.0,2.0,ABM-3PD AUDIENCE,
132,,CE,,DV360,ABM,d3fsspuovki,,targeting-abmltxfy25q1native_us-ce_3pabm_oracle-dab-eyta_em/fi,ABM audience consisting of CE LTX ITDMs/BDMs,,8.3M,,,Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Native,,2.0,ABM-3PD AUDIENCE,
133,Engage,CE,,TTD,ABM,d397ashg35d,,targeting-abmltacefy25q1ttd_us-ce_3pabm_oracle-33a-aiq-bom-equ-expr-lot-sht-strst-tns_em/fi,ABM audience consisting of CE LTA ITDMs/BDMs,,5.1M,,,33Across-AnalyticsIQ-Bombora-Equifax IXI-Experian-Lotame-ShareThis-Stirista-TransUnion,,,,,,,,,,,,,,,Display/Video,674086.0,2.0,ABM-3PD AUDIENCE,
134,,CE,,TTD,ABM,dfaomhohn6d,,targeting-abmltxfy25q1ttd_us-ce_3pabm_oracle-33a-aiq-bom-equ-expr-lot-sht-strst-tns_em/fi,ABM audience consisting of CE LTX ITDMs/BDMs,,6.2M,,,33Across-AnalyticsIQ-Bombora-Equifax IXI-Experian-Lotame-ShareThis-Stirista-TransUnion,,,,,,,,,,,,,,,Display/Video,,2.0,ABM-3PD AUDIENCE,
135,Engage,CE,,TTD,CRM,duom03x13gx,,targeting-uidtestgroupcrmlta_us-ce_1pcrm_aiqcrm-aiq_em,"CE LTA Test Group UID2.0
TTD name: AIQ_424646_1_targeting-crmltacefy25q1_us-ce_1pcrm_aiqcrm-aiq_em",,195.7k,,,,,,,,,,,,,,,,,,Display/Video,,,CRM-1PD CRM,
136,Engage,CE,,TTD,CRM,dklm646yyyu,,targeting-uidcontrolgroupcrmlta_us-ce_1pcrm_aiqcrm-aiq_em,"CE LTA Control Group UID2.0
TTD name: AIQ_424646_0_targeting-crmltacefy25q1_us-ce_1pcrm_aiqcrm-aiq_em",,204.5k,,,,,,,,,,,,,,,,,,Display/Video,,,CRM-1PD CRM,
137,,CE,,TTD,CRM,dthhokliyhi,,targeting-crmltxfy25q1_us-ce_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at CE LTX accounts,,3.8M,,,,,,,,,,,,,,,,,,Display/Video,,,CRM-1PD CRM,
138,Engage,CE,,TTD,LAL,damd8m85b7e,,targeting-itdmlalaiq_us-ce_1plal_aiqcrm-aiq_em,ITDM LAL audience from AIQ,,,,,,,,,,,,,,,,,,,,Display/Video,,,1PLAL,
139,Engage,CE,,Youtube,CRM,dac8scjl3zv,,targeting-crmltacefy25q1yt_us-ce_1pcrm_liveramp-aiq_em,CRM audience consisting of Dell contacts at CE LTA accounts,,796.5k,,,,,,,,,,,,,,,,,,Video,,,CRM-1PD CRM,
140,,CE,,Youtube,CRM,dm7fj5n55o1,,targeting-crmltxfy25q1yt_us-ce_1pcrm_liveramp-aiq_em,CRM audience consisting of Dell contacts at CE LTX accounts,,3.8M,,,,,,,,,,,,,,,,,,Video,,,CRM-1PD CRM,
141,Convert,MB,,Quantcast,ABM,dbxhy51ly3m,,targeting-abmltmaxmbfy25q1qc_us-mb_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of MB LTM ITDMs/BDMs,,5.5M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Native,674089.0,2.0,ABM-3PD AUDIENCE,
142,,MB,,Quantcast,ABM,diwboxup0gs,,targeting-abmltafy25q1qc_us-mb_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of MB LTA ITDMs/BDMs,,7.1M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Native,,2.0,ABM-3PD AUDIENCE,
143,,MB,,Quantcast,ABM,dfrckr67a89,,targeting-abmltxfy25q1qc_us-mb_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of MB LTX ITDMs/BDMs,,3.9M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Native,,2.0,ABM-3PD AUDIENCE,
144,Convert,MB,,DV360,ABM,dveiy7dk2mw,,targeting-abmltmaxmbfy25q1dv_us-mb_3pabm_oracle-dab-eyta-dlx_em/fi,ABM audience consisting of MB LTM ITDMs/BDMs,,4.1M,,,Dun and Bradstreet-Eyeota-Oracle DLX,,,,,,,,,,,,,,,Display/Native,674092.0,2.0,ABM-3PD AUDIENCE,
145,,MB,,DV360,ABM,dwjeen12zto,,targeting-abmltafy25q1dv_us-mb_3pabm_oracle-dab-eyta-dlx_em/fi,ABM audience consisting of MB LTA ITDMs/BDMs,,5.1M,,,Dun and Bradstreet-Eyeota-Oracle DLX,,,,,,,,,,,,,,,Display/Native,,2.0,ABM-3PD AUDIENCE,
146,,MB,,DV360,ABM,d9tqhybwwzr,,targeting-abmltxfy25q1dv_us-mb_3pabm_oracle-dab-eyta-dlx_em/fi,ABM audience consisting of MB LTX ITDMs/BDMs,,3M,,,Dun and Bradstreet-Eyeota-Oracle DLX,,,,,,,,,,,,,,,Display/Native,,2.0,ABM-3PD AUDIENCE,
147,Convert,MB,,DV360,Rtg co size,dxxi96h6jm9,,targeting-mbrtgcosize100to500_us-mb_3pofftheshelf_liveramp-dab-equ-eyta-net_fi,100-500 company size filter for RTG audience,,125.9M,,,Dun and Bradstreet-Equifax-Eyeota-Netwise,,,,,,,,,,,,,,,Display/Native,,1.95,RETARGET-3PD COM SIZE,
148,Convert,CE,,Quantcast,ABM,d16ve28p0ok,,targeting-abmltmaxcefy25q1qc_us-ce_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of CE LTA ITDMs/BDMs,,13.6M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Native,674093.0,2.0,ABM-3PD AUDIENCE,
149,,CE,,Quantcast,ABM,d565ev8yuy1,,targeting-abmltafy25q1qc_us-ce_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of CE LTA ITDMs/BDMs,,4.5M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Native,,2.0,ABM-3PD AUDIENCE,
150,,CE,,Quantcast,ABM,dto1pnd6zdx,,targeting-abmltxfy25q1qc_us-ce_3pabm_oracle-180-ads-tru-web-who_em/fi,ABM audience consisting of CE LTX ITDMs/BDMs,,5.6M,,,180byTwo-Adstra-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display/Native,,2.0,ABM-3PD AUDIENCE,
151,Convert,CE,,DV360,ABM,dqeq63hfov2,,targeting-abmltmaxcefy25q1dv_us-ce_3pabm_oracle-dab-eyta-dlx_em/fi,ABM audience consisting of CE LTMAX ITDMs/BDMs,,16.8M,,,Dun and Bradstreet-Eyeota-Oracle DLX,,,,,,,,,,,,,,,Display/Native,674095.0,2.0,ABM-3PD AUDIENCE,
152,,CE,,DV360,ABM,d41gudpbsr5,,targeting-abmltafy25q1dv_us-ce_3pabm_oracle-dab-eyta-dlx_em/fi,ABM audience consisting of CE LTA ITDMs/BDMs,,4.8M,,,Dun and Bradstreet-Eyeota-Oracle DLX,,,,,,,,,,,,,,,Display/Native,,2.0,ABM-3PD AUDIENCE,
153,,CE,,DV360,ABM,dskqnq14x5l,,targeting-abmltxfy25q1dv_us-ce_3pabm_oracle-dab-eyta-dlx_em/fi,ABM audience consisting of CE LTX ITDMs/BDMs,,6.1M,,,Dun and Bradstreet-Eyeota-Oracle DLX,,,,,,,,,,,,,,,Display/Native,,2.0,ABM-3PD AUDIENCE,
154,Convert,CE,,DV360,Rtg co size,derqi6r5qds,,targeting-certgcosize500above_us-ce_3pofftheshelf_liveramp-dab-equ-eyta-net_fi,500+ company size filter for RTG audience,,219M,,,Dun and Bradstreet-Equifax-Eyeota-Netwise,,,,,,,,,,,,,,,Display/Native,,1.95,RETARGET-3PD COM SIZE,
155,Engage,MB,,Facebook,ABM,d91j6tjy6d0,,targeting-abmltambfy25q1_us-mb_2p_6sense-dab_fi,ABM audience consisting of MB LTA ITDMs/BDMs,,38274 accts,,,Dun and Bradstreet,,,,,,,,,,,,,,,Static/Video,,,ABM-2PD AUDIENCE,
156,,MB,,Facebook,ABM,d967ukiuvrl,,targeting-abmltxfy25q1_us-mb_2p_6sense-dab_fi,ABM audience consisting of MB LTX ITDMs/BDMs,,24069 accts,,,Dun and Bradstreet,,,,,,,,,,,,,,,Static/Video,,,ABM-2PD AUDIENCE,
157,Engage,MB,,Facebook,CRM,dzu5tp55fcq,,targeting-crmltambfy25q1_us-mb_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at MB LTA accounts,,580.6k,,,,,,,,,,,,,,,,,,Static/Video,,,CRM-1PD CRM,
158,,MB,,Facebook,CRM,div7t4r3z90,,targeting-crmltxfy25q1_us-mb_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at MB LTX accounts,,1.9M,,,,,,,,,,,,,,,,,,Static/Video,,,CRM-1PD CRM,
159,Engage,MB,,LinkedIn,ABM,d91j6tjy6d0,,targeting-abmltambfy25q1_us-mb_2p_6sense-dab_fi,ABM audience consisting of MB LTA ITDMs/BDMs,,38274 jaccts,,,Dun and Bradstreet,,,,,,,,,,,,,,,Static/Video,,,ABM-2PD AUDIENCE,
160,,MB,,LinkedIn,ABM,d967ukiuvrl,,targeting-abmltxfy25q1_us-mb_2p_6sense-dab_fi,ABM audience consisting of MB LTX ITDMs/BDMs,,24069 accts,,,Dun and Bradstreet,,,,,,,,,,,,,,,Static/Video,,,ABM-2PD AUDIENCE,
161,Engage,MB,,LinkedIn,CRM,dzu5tp55fcq,,targeting-crmltambfy25q1_us-mb_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at MB LTA accounts,,580.6k,,,,,,,,,,,,,,,,,,Static/Video,,,CRM-1PD CRM,
162,,MB,,LinkedIn,CRM,div7t4r3z90,,targeting-crmltxfy25q1_us-mb_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at MB LTX accounts,,1.9M,,,,,,,,,,,,,,,,,,Static/Video,,,CRM-1PD CRM,
163,Engage,CE,,Facebook,ABM,dswfw31o6uh,,targeting-abmltacefy25q1_us-ce_2p_6sense-dab_fi,ABM audience consisting of CE LTA ITDMs/BDMs,,9316 accts,,,Dun and Bradstreet,,,,,,,,,,,,,,,Static/Video,,,ABM-2PD AUDIENCE,
164,,CE,,Facebook,ABM,dkgwd9zn2iu,,targeting-abmltxfy25q1_us-ce_2p_6sense-dab_fi,ABM audience consisting of CE LTX ITDMs/BDMs,,5243 accts,,,Dun and Bradstreet,,,,,,,,,,,,,,,Static/Video,,,ABM-2PD AUDIENCE,
165,Engage,CE,,Facebook,CRM,djqwpyt2gi6,,targeting-crmltacefy25q1_us-ce_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at CE LTA accounts,,799.6k,,,,,,,,,,,,,,,,,,Static/Video,,,CRM-1PD CRM,
166,,CE,,Facebook,CRM,dthhokliyhi,,targeting-crmltxfy25q1_us-mb_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at CE LTX accounts,,3.8M,,,,,,,,,,,,,,,,,,Static/Video,,,CRM-1PD CRM,
167,Engage,CE,,LinkedIn,ABM,dswfw31o6uh,,targeting-abmltacefy25q1_us-ce_2p_6sense-dab_fi,ABM audience consisting of CE LTA ITDMs/BDMs,,9316 accts,,,Dun and Bradstreet,,,,,,,,,,,,,,,Static/Video,,,ABM-2PD AUDIENCE,
168,,CE,,LinkedIn,ABM,dkgwd9zn2iu,,targeting-abmltxfy25q1_us-ce_2p_6sense-dab_fi,ABM audience consisting of CE LTX ITDMs/BDMs,,5243 accts,,,Dun and Bradstreet,,,,,,,,,,,,,,,Static/Video,,,ABM-2PD AUDIENCE,
169,Engage,CE,,LinkedIn,CRM,djqwpyt2gi6,,targeting-crmltacefy25q1_us-ce_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at CE LTA accounts,,799.6k,,,,,,,,,,,,,,,,,,Static/Video,,,CRM-1PD CRM,
170,,CE,,LinkedIn,CRM,dthhokliyhi,,targeting-crmltxfy25q1_us-mb_1pcrm_aiqcrm-aiq_em,CRM audience consisting of Dell contacts at CE LTX accounts,,3.8M,,,,,,,,,,,,,,,,,,Static/Video,,,CRM-1PD CRM,
171,Search,MB,,Google,CRM,di2ugjkrbhz,,targeting-crmmb_us-b2b-mb_1pcrm_aiqcrm-aiq_na,CRM all MB audience,,4.9M,,,,,,,,,,,,,,,,,,All,,,CRM-1PD CRM,
172,Search,CE,,Google,CRM,drvw7l0rhtj,,targeting-crmce_us-b2b-com_1pcrm_aiqcrm-aiq_na,CRM all CE audience,,9.7M,,,,,,,,,,,,,,,,,,All,,,CRM-1PD CRM,
173,Engage,MB/CE,,Quantcast,ABM,dfgbs23qpr7,,targeting-abmltacomfy25q1qc_ca-com_3pabm_oracle-bom-dab-eyta_em/fi,ABM audience consisting of MB & CE LTA/X ITDMs/BDMs,,61.8k,,,Bombora-Dun and Bradstreet-Eyeota,,,,,,,,,,,,,,,Display/Native,675180.0,2.0,ABM-3PD AUDIENCE,
174,Engage,MB/CE,,DV360,ABM,die5wt311iz,,targeting-abmltacomfy25q1dv_ca-com_3pabm_oracle-180-33a-ads-lot-tru-web-who_em/fi,ABM audience consisting of MB & CE LTA/X ITDMs/BDMs,,44.5k,,,180byTwo-33Across-Adstra-Lotame-Trusignal-Webbula-Who2 by NetWise,,,,,,,,,,,,,,,Display,675185.0,2.5,ABM-3PD AUDIENCE,
175,Engage,MB/CE,,Youtube,CRM,dikcgsb42ft,,targeting-crmltacomfy25q1yt_ca-com_1pcrm_liveramp-aiq_em,CRM audience consisting of Dell contacts at MB & CE LTA/X accounts,,41.4k,,,,,,,,,,,,,,,,,,Video,,,CRM-1PD CRM,
176,Engage,MB/CE,,TTD,ABM,d3dsp887tmc,,targeting-abmltacomfy25q1ttd_ca-com_3pabm_oracle-33a-aiq-equ-expr-lot-sht-strst-tns_em/fi,ABM audience consisting of MB & CE LTA/X ITDMs/BDMs,,78.8k,,,33Across-AnalyticsIQ-Equifax IXI-Experian-Lotame-ShareThis-Stirista-TransUnion,,,,,,,,,,,,,,,Display,675328.0,2.5,ABM-3PD AUDIENCE,
177,Engage,MB/CE,,TTD,CRM,dk5w91dgd9x,,targeting-uidtestgroupcrmlta_ca-com_1pcrm_aiqcrm-aiq_em,"CA COM Test Group UID 2.0
TTD  name: AIQ_424648_0_targeting-crmltacomfy25q1_ca-com_1pcrm_aiqcrm-aiq_em ",,2.3k,,,,,,,,,,,,,,,,,,Display,,,CRM-1PD CRM,
178,Engage,MB/CE,,TTD,CRM,de99laxgs8r,,targeting-uidcontrolgroupcrmlta_ca-com_1pcrm_aiqcrm-aiq_em,"CA COM Control Group UID 2.0
TTD name: AIQ_424648_1_targeting-crmltacomfy25q1_ca-com_1pcrm_aiqcrm-aiq_em ",,2.4k,,,,,,,,,,,,,,,,,,Display,,,CRM-1PD CRM,
