Global Country (Calc),Global Audience Type (Calc),Display Funnel Mapped,Global Tactic V2 B2B (Calc),LOB,Display Business Unit Mapped,Display Funnel Mapped,Audience Type,Actual Spend (GCSB) (Calc),LC True Revenue BQ (GCSB) (Calc)
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,ABM-3PD-AUDIENCE,92872.0,277981.82
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,AFFINITY-3PD-BEHAVIOR,160639.06,175.15
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,CATEGORY-3PD-CONTEXTUAL,1172834.39,38137652.03
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,DMP-3PD-AUDIENCE,179908.55,689730.6900000001
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,DMP-3PD-LAL,0.0,1054706.36
United States,3PD,Active Prospects,ENGAGEMENT,CSB,Other,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,CSB,Other,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,B2B,Dell Tech Concierge,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,10708.949999999999
United States,3PD,Active Prospects,PROSPECTING,B2B,Dell Tech Concierge,Active Prospects,PIXEL-3PD-LAL,0.0,71.99
United States,3PD,Active Prospects,PROSPECTING,CSB,Alienware,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,IN-MARKET-3PD-BEHAVIOR,0.0,3179.26
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,PIXEL-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,IN-MARKET-3PD-BEHAVIOR,0.0,234719.81
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,624.99
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,PIXEL-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,1722.29
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,6161.78
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,DMP-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,65203.79
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Member Purchase Program,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,AFFINITY-3PD-BEHAVIOR,2592585.15,21827058.16
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,CATEGORY-3PD-CONTEXTUAL,106706.0,4019924.38
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,CONQUESTING,3005.54,16295.98
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,DIGITAL-3PD-RETARGET-EXPOSED,86114.59,63513.54
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,DMP-3PD-AUDIENCE,76563.94,333288.07
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,DMP-3PD-LAL,49371.76,1914119.3599999999
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,DOMAIN-3PD-CONTEXTUAL,9944.4,173.99
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,IN-MARKET-3PD-BEHAVIOR,258367.1,2641892.77
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,130377.0,477582.38
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,KCT-3PD-CONTEXTUAL,181670.96,934225.6799999999
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,PIXEL-3PD-LAL,1840272.17,1160444.82
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,ROS-3PD-PMP,0.0,16291.13
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,SITE-IN-MARKET-3PD-BEHAVIOR,153943.49,2027378.88
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,359740.26
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,DMP-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,DOMAIN-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,IN-MARKET-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,ROS-3PD-PMP,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,SITE-IN-MARKET-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Commercial,Active Prospects,ABM-3PD-AUDIENCE,4743.68,528548.56
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Commercial,Active Prospects,CATEGORY-3PD-CONTEXTUAL,556827.29,23738402.97
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Commercial,Active Prospects,DMP-3PD-AUDIENCE,8311.72,364023.15
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Medium Business,Active Prospects,ABM-3PD-AUDIENCE,12708.27,988898.6900000001
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Medium Business,Active Prospects,CATEGORY-3PD-CONTEXTUAL,1387004.34,53853832.43
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Medium Business,Active Prospects,DMP-3PD-AUDIENCE,20719.58,1021728.61
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Medium Business,Active Prospects,DMP-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Medium Business,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,253070.18
United States,3PD,Active Prospects,PROSPECTING-TXL,B2B,Medium Business,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,70922.28
United States,3PD,Brand Seeker/Purchasers,DEMAND,B2B,Commercial,Brand Seeker/Purchasers,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Brand Seeker/Purchasers,ENGAGEMENT,B2B,Commercial,Brand Seeker/Purchasers,CATEGORY-3PD-CONTEXTUAL,42515.48,863351.02
United States,3PD,Brand Seeker/Purchasers,ENGAGEMENT,B2B,Commercial,Brand Seeker/Purchasers,MEDIA-3PD-RETARGET-EXPOSED,0.0,0.0
United States,3PD,Brand Seeker/Purchasers,ENGAGEMENT,B2B,Medium Business,Brand Seeker/Purchasers,CATEGORY-3PD-CONTEXTUAL,812.27,0.0
United States,3PD,Brand Seeker/Purchasers,RETARGETING,CSB,Consumer Small Business,Brand Seeker/Purchasers,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Brand Seeker/Purchasers,RETARGETING,CSB,Gaming,Brand Seeker/Purchasers,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Brand Seeker/Purchasers,RETARGETING,CSB,Other,Brand Seeker/Purchasers,CATEGORY-3PD-CONTEXTUAL,97332.83,6032751.62
United States,3PD,Brand Seeker/Purchasers,RETARGETING,CSB,Other,Brand Seeker/Purchasers,ROS-3PD-PMP,0.0,1310.44
United States,3PD,Brand Seeker/Purchasers,RETARGETING,CSB,Small Business,Brand Seeker/Purchasers,ROS-3PD-PMP,0.0,0.0
United States,3PD,Brand Seeker/Purchasers,RETARGETING-TXL,B2B,Commercial,Brand Seeker/Purchasers,CATEGORY-3PD-CONTEXTUAL,3208.79,15791.869999999999
United States,3PD,Brand Seeker/Purchasers,RETARGETING-TXL,B2B,Commercial,Brand Seeker/Purchasers,DIGITAL-3PD-RETARGET-EXPOSED,0.0,0.0
United States,3PD,Demand Creation,AWARENESS,B2B,Commercial,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,AWARENESS,B2B,Dell Tech Concierge,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,AWARENESS,B2B,Dell Tech Concierge,Demand Creation,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Demand Creation,AWARENESS,B2B,Dell Tech Concierge,Demand Creation,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,AWARENESS,B2B,Dell Tech Concierge,Demand Creation,PROXIMITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Demand Creation,AWARENESS,B2B,Medium Business,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,AFFINITY-3PD-BEHAVIOR,0.0,69360.87
United States,3PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,12635.26
United States,3PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,DMP-3PD-AUDIENCE,0.0,1107.55
United States,3PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,IN-MARKET-3PD-CONTEXTUAL,0.0,15571.779999999999
