,Taxonomy,Count,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
122,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919426/*Demographics > Occupation > Occupation: Professional- Architecture & Engineering/Life*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",6919426",*Demographics , Occupation , Occupation: Professional- Architecture & Engineering,Life*,,adadvisor
123,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949642/*Architects*/",1,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949642",*Architects*,,,,,adadvisor
124,"33282/*Neustar AdAdvisor Identity Planner Audiences - Demographic*/,40548194/*Household Occupations | Household Member Occupation Group | Technical:Computers/Math and Architect/Engineering*/",1,33282,*Neustar AdAdvisor Identity Planner Audiences - Demographic*,",40548194",*Household Occupations | Household Member Occupation Group | Technical:Computers,Math and Architect,Engineering*,,,adadvisor
125,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947214/*Occupation: Professional- Architecture & Engineering/Life*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947214",*Occupation: Professional- Architecture & Engineering,Life*,,,,adadvisor
126,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919386/*Computers & Electronics > TV - When Acquired > HH Acquired Any TV 3-4 Years Ago*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",6919386",*Computers & Electronics , TV - When Acquired , HH Acquired Any TV 3-4 Years Ago*,,,adadvisor
127,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919388/*Computers & Electronics > TV - When Acquired > HH Acquired Any TV 1-2 Years Ago*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",6919388",*Computers & Electronics , TV - When Acquired , HH Acquired Any TV 1-2 Years Ago*,,,adadvisor
128,"12160/*Neustar AdAdvisor - Business*/,2965209/*Company Size: 1-4 employees*/",1,12160,*Neustar AdAdvisor - Business*,",2965209",*Company Size: 1-4 employees*,,,,,adadvisor
129,"12160/*Neustar AdAdvisor - Business*/,2965210/*Company Size: 20-100 employees*/",1,12160,*Neustar AdAdvisor - Business*,",2965210",*Company Size: 20-100 employees*,,,,,adadvisor
130,"12160/*Neustar AdAdvisor - Business*/,2965212/*Company Size: 5-19 employees*/",1,12160,*Neustar AdAdvisor - Business*,",2965212",*Company Size: 5-19 employees*,,,,,adadvisor
131,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997519/*Entertainment > Television Shows > Watched Sports Event Online: NFL Football Regular Season*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",44997519",*Entertainment , Television Shows , Watched Sports Event Online: NFL Football Regular Season*,,,adadvisor
132,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996464/*Education > Highest Level of Education for Head of Household > Edu: Graduate Degree*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2996464",*Education , Highest Level of Education for Head of Household , Edu: Graduate Degree*,,,adadvisor
133,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033404/*Age Group --> 45-54 --> 54-55*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033404",*Age Group --, 45-54 --, 54-55*,,,adadvisor
134,"25752/*180byTwo_DataDirectory*/,44581260/*180byTwo from Anteriad > B2B Intent > Technology > Virtualization > Server Virtualization*/",1,25752,*180byTwo_DataDirectory*,",44581260",*180byTwo from Anteriad , B2B Intent , Technology , Virtualization , Server Virtualization*/,180bytwo
135,"25752/*180byTwo_DataDirectory*/,30867625/*180byTwo from Anteriad > B2B > Functional Area > Middle Management > Business Development Managers*/",1,25752,*180byTwo_DataDirectory*,",30867625",*180byTwo from Anteriad , B2B , Functional Area , Middle Management , Business Development Managers*/,180bytwo
136,"29406/*AnalyticsIQ Taxonomy*/,14849332/*AnalyticsIQ > Seasonal > Back To School > College Students*/",1,29406,*AnalyticsIQ Taxonomy*,",14849332",*AnalyticsIQ , Seasonal , Back To School , College Students*,,analyticsiq
137,"36/*Datonics Segments*/,45167709/*Electronics > Computers > Dell*/",1,36,*Datonics Segments*,",45167709",*Electronics , Computers , Dell*,,,
138,"25752/*180byTwo_DataDirectory*/,30867656/*180byTwo from Anteriad > B2B > Functional Area > Sales & Business Development > Business Development*/",1,25752,*180byTwo_DataDirectory*,",30867656",*180byTwo from Anteriad , B2B , Functional Area , Sales & Business Development , Business Development*/,180bytwo
139,"33271/*Adstra Data Directory Taxonomy*/,12816299/*B2B_100055*/",1,33271,*Adstra Data Directory Taxonomy*,",12816299",*B2B_100055*,,,,,
140,"30646/*Clickagy Data Directory*/,20946444/*In-Market > Electronics > Computers > Laptops*/",1,30646,*Clickagy Data Directory*,",20946444",*In-Market , Electronics , Computers , Laptops*,,clickagy
141,"25752/*180byTwo_DataDirectory*/,45495713/*180byTwo from Anteriad > B2B > Decision Makers > Business Development Decision Makers*/",1,25752,*180byTwo_DataDirectory*,",45495713",*180byTwo from Anteriad , B2B , Decision Makers , Business Development Decision Makers*,,180bytwo
142,"26303/*Alliant DD Taxonomy*/,4931890/*Alliant Loyal Super Spenders*/",1,26303,*Alliant DD Taxonomy*,",4931890",*Alliant Loyal Super Spenders*,,,,,
143,"25752/*180byTwo_DataDirectory*/,44581179/*180byTwo from Anteriad > B2B Intent > Technology > It Management > Software Development Outsourcing*/",1,25752,*180byTwo_DataDirectory*,",44581179",*180byTwo from Anteriad , B2B Intent , Technology , It Management , Software Development Outsourcing*/,180bytwo
144,"22976/*Media Source Solutions*/,6808774/*Media Source Solutions > Consumer > Interests > Electronics & Gadgets > Known Video Games Enthusiasts*/",1,22976,*Media Source Solutions*,",6808774",*Media Source Solutions , Consumer , Interests , Electronics & Gadgets , Known Video Games Enthusiasts*/,
145,"23985/*33Across Taxonomy*/,9000051/*Sports Gaming Fanatics*/",1,23985,*33Across Taxonomy*,",9000051",*Sports Gaming Fanatics*,,,,,33across
146,"29406/*AnalyticsIQ Taxonomy*/,40446519/*AnalyticsIQ > Social Distancing > Adjusting to Life at Home > Video Games > Casual Gamers Playing More Than Usual*/",1,29406,*AnalyticsIQ Taxonomy*,",40446519",*AnalyticsIQ , Social Distancing , Adjusting to Life at Home , Video Games , Casual Gamers Playing More Than Usual*/,analyticsiq
147,"26790/*Gravy - New Data Directory*/,32667840/*eSports Enthusiast*/",1,26790,*Gravy - New Data Directory*,",32667840",*eSports Enthusiast*,,,,,
148,"33962/*Start.io Data Taxonomy*/,41557785/*eSports Gamers*/",1,33962,*Start.io Data Taxonomy*,",41557785",*eSports Gamers*,,,,,
149,"37656/*Clickagy Public Taxonomy*/,20946483/*In-Market > Entertainment > eSports*/",1,37656,*Clickagy Public Taxonomy*,",20946483",*In-Market , Entertainment , eSports*,,,clickagy
150,"23985/*33Across Taxonomy*/,9000021/*Small Business Business Services*/",1,23985,*33Across Taxonomy*,",9000021",*Small Business Business Services*,,,,,33across
151,"25752/*180byTwo_DataDirectory*/,44581221/*180byTwo from Anteriad > B2B Intent > Technology > Servers > Server Automation*/",1,25752,*180byTwo_DataDirectory*,",44581221",*180byTwo from Anteriad , B2B Intent , Technology , Servers , Server Automation*/,180bytwo
152,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033420/*Age Group --> 35-44 --> 38-39*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033420",*Age Group --, 35-44 --, 38-39*,,,adadvisor
153,"25752/*180byTwo_DataDirectory*/,30867379/*180byTwo from Anteriad > Auto > In Market*/",1,25752,*180byTwo_DataDirectory*,",30867379",*180byTwo from Anteriad , Auto , In Market*,,,180bytwo
154,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033422/*Age Group --> 35-44 --> 36-37*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033422",*Age Group --, 35-44 --, 36-37*,,,adadvisor
155,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033424/*Age Group --> 30-34 --> 34-35*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033424",*Age Group --, 30-34 --, 34-35*,,,adadvisor
156,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033430/*Age Group --> 25-29 --> 28-29*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033430",*Age Group --, 25-29 --, 28-29*,,,adadvisor
157,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033432/*Age Group --> 25-29 --> 26-27*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033432",*Age Group --, 25-29 --, 26-27*,,,adadvisor
158,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033434/*Age Group --> 21-24 --> 24-25*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033434",*Age Group --, 21-24 --, 24-25*,,,adadvisor
159,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033436/*Age Group --> 21-24 --> 22-23*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033436",*Age Group --, 21-24 --, 22-23*,,,adadvisor
160,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033438/*Age Group --> 18-20 --> 20-21*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",3033438",*Age Group --, 18-20 --, 20-21*,,,adadvisor
161,"33282/*Neustar AdAdvisor Identity Planner Audiences - Demographic*/,4947168/*30-34*/",1,33282,*Neustar AdAdvisor Identity Planner Audiences - Demographic*,",4947168",*30-34*,,,,,adadvisor
162,"33282/*Neustar AdAdvisor Identity Planner Audiences - Demographic*/,4947170/*40-44*/",1,33282,*Neustar AdAdvisor Identity Planner Audiences - Demographic*,",4947170",*40-44*,,,,,adadvisor
163,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996467/*Education > Highest Level of Education for Head of Household > Edu: Some College*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",2996467",*Education , Highest Level of Education for Head of Household , Edu: Some College*,,,adadvisor
164,"12894/*Neustar AdAdvisor Consumer Audiences*/,6920108/*Print Media > Magazines > Read Parents Last 6 Month*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",6920108",*Print Media , Magazines , Read Parents Last 6 Month*,,,adadvisor
165,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948832/*Read Parents Last 6 Month*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948832",*Read Parents Last 6 Month*,,,,,adadvisor
166,"12894/*Neustar AdAdvisor Consumer Audiences*/,40502966/*Lifestyle Statements > Likely to Buy From Company Donating to Charity*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",40502966",*Lifestyle Statements , Likely to Buy From Company Donating to Charity*,,,,adadvisor
167,"12894/*Neustar AdAdvisor Consumer Audiences*/,40503232/*Lifestyle Statements > Shopping > I am more Likely to Buy from a Company that Donates to Charity*/",1,12894,*Neustar AdAdvisor Consumer Audiences*,",40503232",*Lifestyle Statements , Shopping , I am more Likely to Buy from a Company that Donates to Charity*,,,adadvisor
168,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947819/*HH Owns Portable Generator*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947819",*HH Owns Portable Generator*,,,,,adadvisor
169,"12160/*Neustar AdAdvisor - Business*/,2965274/*SOHO 25- Small Office Or Home Office Businesses*/",1,12160,*Neustar AdAdvisor - Business*,",2965274",*SOHO 25- Small Office Or Home Office Businesses*,,,,,adadvisor
