,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
2485,3PD,2023-Q4,2023-W46,Austria,B2B,No ID,1
2486,3PD,2023-Q4,2023-W46,Belgium,B2B,No ID,2
2487,3PD,2023-Q4,2023-W46,Brazil,B2B,No ID,1
2488,3PD,2023-Q4,2023-W46,Canada,B2B,No ID,2
2489,3PD,2023-Q4,2023-W46,Canada,CSB,No ID,2
2490,3PD,2023-Q4,2023-W46,France,B2B,No ID,2
2491,3PD,2023-Q4,2023-W46,France,CSB,No ID,2
2492,3PD,2023-Q4,2023-W46,Germany,B2B,No ID,2
2493,3PD,2023-Q4,2023-W46,Germany,CSB,No ID,2
2494,3PD,2023-Q4,2023-W46,India,B2B,No ID,2
2495,3PD,2023-Q4,2023-W46,India,CSB,No ID,2
2496,3PD,2023-Q4,2023-W46,Ireland,B2B,No ID,2
2497,3PD,2023-Q4,2023-W46,Italy,B2B,No ID,2
2498,3PD,2023-Q4,2023-W46,Japan,B2B,No ID,2
2499,3PD,2023-Q4,2023-W46,Japan,CSB,No ID,1
2500,3PD,2023-Q4,2023-W46,Malaysia,B2B,No ID,2
2501,3PD,2023-Q4,2023-W46,Malaysia,CSB,No ID,2
2502,3PD,2023-Q4,2023-W46,Mexico,B2B,No ID,2
2503,3PD,2023-Q4,2023-W46,Mexico,CSB,No ID,1
2504,3PD,2023-Q4,2023-W46,Netherlands,B2B,No ID,2
2505,3PD,2023-Q4,2023-W46,Netherlands,CSB,No ID,2
2506,3PD,2023-Q4,2023-W46,New Zealand,CSB,No ID,2
2507,3PD,2023-Q4,2023-W46,Singapore,B2B,No ID,2
2508,3PD,2023-Q4,2023-W46,Singapore,CSB,No ID,2
2509,3PD,2023-Q4,2023-W46,South Africa,B2B,No ID,1
2510,3PD,2023-Q4,2023-W46,Spain,B2B,No ID,2
2511,3PD,2023-Q4,2023-W46,Spain,CSB,No ID,2
2512,3PD,2023-Q4,2023-W46,Sweden,B2B,No ID,2
2513,3PD,2023-Q4,2023-W46,Sweden,CSB,No ID,1
2514,3PD,2023-Q4,2023-W46,Switzerland,B2B,No ID,2
2515,3PD,2023-Q4,2023-W46,Switzerland,CSB,No ID,2
2516,3PD,2023-Q4,2023-W46,United Kingdom,B2B,No ID,2
2517,3PD,2023-Q4,2023-W46,United Kingdom,CSB,No ID,2
2518,3PD,2023-Q4,2023-W46,United States,B2B,No ID,2
2519,3PD,2023-Q4,2023-W46,United States,CSB,No ID,2
2520,3PD,2023-Q4,2023-W47,Australia,B2B,No ID,2
2521,3PD,2023-Q4,2023-W47,Australia,CSB,No ID,2
2522,3PD,2023-Q4,2023-W47,Austria,B2B,No ID,1
2523,3PD,2023-Q4,2023-W47,Belgium,B2B,No ID,2
2524,3PD,2023-Q4,2023-W47,Brazil,B2B,No ID,1
2525,3PD,2023-Q4,2023-W47,Canada,B2B,No ID,2
2526,3PD,2023-Q4,2023-W47,Canada,CSB,No ID,2
2527,3PD,2023-Q4,2023-W47,France,B2B,No ID,2
2528,3PD,2023-Q4,2023-W47,France,CSB,No ID,2
2529,3PD,2023-Q4,2023-W47,Germany,B2B,No ID,2
2530,3PD,2023-Q4,2023-W47,Germany,CSB,No ID,2
2531,3PD,2023-Q4,2023-W47,India,B2B,No ID,2
2532,3PD,2023-Q4,2023-W47,India,CSB,No ID,2
2533,3PD,2023-Q4,2023-W47,Ireland,B2B,No ID,2
2534,3PD,2023-Q4,2023-W47,Italy,B2B,No ID,2
2535,3PD,2023-Q4,2023-W47,Japan,B2B,No ID,2
2536,3PD,2023-Q4,2023-W47,Japan,CSB,No ID,1
2537,3PD,2023-Q4,2023-W47,Malaysia,B2B,No ID,2
2538,3PD,2023-Q4,2023-W47,Malaysia,CSB,No ID,2
2539,3PD,2023-Q4,2023-W47,Mexico,B2B,No ID,2
2540,3PD,2023-Q4,2023-W47,Mexico,CSB,No ID,1
2541,3PD,2023-Q4,2023-W47,Netherlands,B2B,No ID,2
2542,3PD,2023-Q4,2023-W47,Netherlands,CSB,No ID,2
2543,3PD,2023-Q4,2023-W47,New Zealand,CSB,No ID,2
2544,3PD,2023-Q4,2023-W47,Singapore,B2B,No ID,2
2545,3PD,2023-Q4,2023-W47,Singapore,CSB,No ID,2
2546,3PD,2023-Q4,2023-W47,South Africa,B2B,No ID,1
2547,3PD,2023-Q4,2023-W47,Spain,B2B,No ID,2
2548,3PD,2023-Q4,2023-W47,Spain,CSB,No ID,2
2549,3PD,2023-Q4,2023-W47,Sweden,B2B,No ID,2
2550,3PD,2023-Q4,2023-W47,Sweden,CSB,No ID,1
2551,3PD,2023-Q4,2023-W47,Switzerland,B2B,No ID,2
2552,3PD,2023-Q4,2023-W47,Switzerland,CSB,No ID,2
2553,3PD,2023-Q4,2023-W47,United Kingdom,B2B,No ID,2
2554,3PD,2023-Q4,2023-W47,United Kingdom,CSB,No ID,2
2555,3PD,2023-Q4,2023-W47,United States,B2B,No ID,2
2556,3PD,2023-Q4,2023-W47,United States,CSB,No ID,2
2557,3PD,2023-Q4,2023-W48,Australia,B2B,No ID,2
2558,3PD,2023-Q4,2023-W48,Australia,CSB,No ID,2
2559,3PD,2023-Q4,2023-W48,Austria,B2B,No ID,1
2560,3PD,2023-Q4,2023-W48,Belgium,B2B,No ID,2
2561,3PD,2023-Q4,2023-W48,Brazil,B2B,No ID,2
2562,3PD,2023-Q4,2023-W48,Canada,B2B,No ID,2
2563,3PD,2023-Q4,2023-W48,Canada,CSB,No ID,2
2564,3PD,2023-Q4,2023-W48,France,B2B,No ID,2
2565,3PD,2023-Q4,2023-W48,France,CSB,No ID,2
2566,3PD,2023-Q4,2023-W48,Germany,B2B,No ID,2
2567,3PD,2023-Q4,2023-W48,Germany,CSB,No ID,2
2568,3PD,2023-Q4,2023-W48,India,B2B,No ID,2
2569,3PD,2023-Q4,2023-W48,India,CSB,No ID,2
2570,3PD,2023-Q4,2023-W48,Ireland,B2B,No ID,2
2571,3PD,2023-Q4,2023-W48,Italy,B2B,No ID,2
2572,3PD,2023-Q4,2023-W48,Japan,B2B,No ID,2
2573,3PD,2023-Q4,2023-W48,Japan,CSB,No ID,1
2574,3PD,2023-Q4,2023-W48,Malaysia,B2B,No ID,2
2575,3PD,2023-Q4,2023-W48,Malaysia,CSB,No ID,2
2576,3PD,2023-Q4,2023-W48,Mexico,B2B,No ID,2
2577,3PD,2023-Q4,2023-W48,Mexico,CSB,No ID,1
2578,3PD,2023-Q4,2023-W48,Netherlands,B2B,No ID,2
2579,3PD,2023-Q4,2023-W48,Netherlands,CSB,No ID,2
2580,3PD,2023-Q4,2023-W48,New Zealand,CSB,No ID,2
2581,3PD,2023-Q4,2023-W48,Singapore,B2B,No ID,2
2582,3PD,2023-Q4,2023-W48,Singapore,CSB,No ID,2
2583,3PD,2023-Q4,2023-W48,South Africa,B2B,No ID,1
2584,3PD,2023-Q4,2023-W48,Spain,B2B,No ID,2
2585,3PD,2023-Q4,2023-W48,Spain,CSB,No ID,2
2586,3PD,2023-Q4,2023-W48,Sweden,B2B,No ID,2
2587,3PD,2023-Q4,2023-W48,Sweden,CSB,No ID,1
2588,3PD,2023-Q4,2023-W48,Switzerland,B2B,No ID,2
2589,3PD,2023-Q4,2023-W48,Switzerland,CSB,No ID,2
2590,3PD,2023-Q4,2023-W48,United Kingdom,B2B,No ID,2
2591,3PD,2023-Q4,2023-W48,United Kingdom,CSB,No ID,2
2592,3PD,2023-Q4,2023-W48,United States,B2B,No ID,2
2593,3PD,2023-Q4,2023-W48,United States,CSB,No ID,2
2594,3PD,2023-Q4,2023-W49,Australia,B2B,No ID,2
2595,3PD,2023-Q4,2023-W49,Australia,CSB,No ID,2
2596,3PD,2023-Q4,2023-W49,Austria,B2B,No ID,1
2597,3PD,2023-Q4,2023-W49,Belgium,B2B,No ID,2
2598,3PD,2023-Q4,2023-W49,Brazil,B2B,No ID,1
2599,3PD,2023-Q4,2023-W49,Canada,B2B,No ID,2
2600,3PD,2023-Q4,2023-W49,Canada,CSB,No ID,2
2601,3PD,2023-Q4,2023-W49,France,B2B,No ID,2
2602,3PD,2023-Q4,2023-W49,France,CSB,No ID,2
2603,3PD,2023-Q4,2023-W49,Germany,B2B,No ID,2
2604,3PD,2023-Q4,2023-W49,Germany,CSB,No ID,2
2605,3PD,2023-Q4,2023-W49,India,B2B,No ID,2
2606,3PD,2023-Q4,2023-W49,India,CSB,No ID,2
2607,3PD,2023-Q4,2023-W49,Ireland,B2B,No ID,2
2608,3PD,2023-Q4,2023-W49,Italy,B2B,No ID,2
2609,3PD,2023-Q4,2023-W49,Japan,B2B,No ID,2
2610,3PD,2023-Q4,2023-W49,Japan,CSB,No ID,1
2611,3PD,2023-Q4,2023-W49,Malaysia,B2B,No ID,2
2612,3PD,2023-Q4,2023-W49,Malaysia,CSB,No ID,2
2613,3PD,2023-Q4,2023-W49,Mexico,B2B,No ID,2
2614,3PD,2023-Q4,2023-W49,Mexico,CSB,No ID,1
2615,3PD,2023-Q4,2023-W49,Netherlands,B2B,No ID,2
2616,3PD,2023-Q4,2023-W49,Netherlands,CSB,No ID,2
2617,3PD,2023-Q4,2023-W49,New Zealand,CSB,No ID,2
2618,3PD,2023-Q4,2023-W49,Singapore,B2B,No ID,2
2619,3PD,2023-Q4,2023-W49,Singapore,CSB,No ID,2
2620,3PD,2023-Q4,2023-W49,South Africa,B2B,No ID,1
2621,3PD,2023-Q4,2023-W49,Spain,B2B,No ID,2
2622,3PD,2023-Q4,2023-W49,Spain,CSB,No ID,2
2623,3PD,2023-Q4,2023-W49,Sweden,B2B,No ID,2
2624,3PD,2023-Q4,2023-W49,Sweden,CSB,No ID,1
2625,3PD,2023-Q4,2023-W49,Switzerland,B2B,No ID,2
2626,3PD,2023-Q4,2023-W49,Switzerland,CSB,No ID,2
2627,3PD,2023-Q4,2023-W49,United Kingdom,B2B,No ID,2
2628,3PD,2023-Q4,2023-W49,United Kingdom,CSB,No ID,2
2629,3PD,2023-Q4,2023-W49,United States,B2B,No ID,2
2630,3PD,2023-Q4,2023-W49,United States,CSB,No ID,2
2631,3PD,2023-Q4,2023-W50,Australia,B2B,No ID,2
2632,3PD,2023-Q4,2023-W50,Australia,CSB,No ID,2
2633,3PD,2023-Q4,2023-W50,Austria,B2B,No ID,1
2634,3PD,2023-Q4,2023-W50,Belgium,B2B,No ID,2
2635,3PD,2023-Q4,2023-W50,Brazil,B2B,No ID,1
2636,3PD,2023-Q4,2023-W50,Canada,B2B,No ID,2
2637,3PD,2023-Q4,2023-W50,Canada,CSB,No ID,2
2638,3PD,2023-Q4,2023-W50,France,B2B,No ID,2
2639,3PD,2023-Q4,2023-W50,France,CSB,No ID,2
2640,3PD,2023-Q4,2023-W50,Germany,B2B,No ID,2
2641,3PD,2023-Q4,2023-W50,Germany,CSB,No ID,2
2642,3PD,2023-Q4,2023-W50,India,B2B,No ID,2
2643,3PD,2023-Q4,2023-W50,India,CSB,No ID,2
2644,3PD,2023-Q4,2023-W50,Ireland,B2B,No ID,2
2645,3PD,2023-Q4,2023-W50,Italy,B2B,No ID,2
2646,3PD,2023-Q4,2023-W50,Japan,B2B,No ID,2
2647,3PD,2023-Q4,2023-W50,Japan,CSB,No ID,1
2648,3PD,2023-Q4,2023-W50,Malaysia,B2B,No ID,2
2649,3PD,2023-Q4,2023-W50,Malaysia,CSB,No ID,2
2650,3PD,2023-Q4,2023-W50,Mexico,B2B,No ID,2
2651,3PD,2023-Q4,2023-W50,Mexico,CSB,No ID,1
2652,3PD,2023-Q4,2023-W50,Netherlands,B2B,No ID,2
2653,3PD,2023-Q4,2023-W50,Netherlands,CSB,No ID,2
2654,3PD,2023-Q4,2023-W50,New Zealand,CSB,No ID,2
2655,3PD,2023-Q4,2023-W50,Singapore,B2B,No ID,2
2656,3PD,2023-Q4,2023-W50,Singapore,CSB,No ID,2
2657,3PD,2023-Q4,2023-W50,South Africa,B2B,No ID,1
2658,3PD,2023-Q4,2023-W50,Spain,B2B,No ID,2
2659,3PD,2023-Q4,2023-W50,Spain,CSB,No ID,2
2660,3PD,2023-Q4,2023-W50,Sweden,B2B,No ID,2
2661,3PD,2023-Q4,2023-W50,Sweden,CSB,No ID,1
2662,3PD,2023-Q4,2023-W50,Switzerland,B2B,No ID,2
2663,3PD,2023-Q4,2023-W50,Switzerland,CSB,No ID,2
2664,3PD,2023-Q4,2023-W50,United Kingdom,B2B,No ID,2
2665,3PD,2023-Q4,2023-W50,United Kingdom,CSB,No ID,2
2666,3PD,2023-Q4,2023-W50,United States,B2B,No ID,2
2667,3PD,2023-Q4,2023-W50,United States,CSB,Have ID,2
2668,3PD,2023-Q4,2023-W50,United States,CSB,No ID,2
2669,3PD,2023-Q4,2023-W51,Australia,B2B,No ID,2
2670,3PD,2023-Q4,2023-W51,Australia,CSB,No ID,2
2671,3PD,2023-Q4,2023-W51,Austria,B2B,No ID,1
2672,3PD,2023-Q4,2023-W51,Belgium,B2B,No ID,2
2673,3PD,2023-Q4,2023-W51,Brazil,B2B,No ID,1
2674,3PD,2023-Q4,2023-W51,Canada,B2B,No ID,2
2675,3PD,2023-Q4,2023-W51,Canada,CSB,No ID,2
2676,3PD,2023-Q4,2023-W51,France,B2B,No ID,2
2677,3PD,2023-Q4,2023-W51,France,CSB,No ID,2
2678,3PD,2023-Q4,2023-W51,Germany,B2B,No ID,2
2679,3PD,2023-Q4,2023-W51,Germany,CSB,No ID,2
2680,3PD,2023-Q4,2023-W51,India,B2B,No ID,2
2681,3PD,2023-Q4,2023-W51,India,CSB,No ID,2
2682,3PD,2023-Q4,2023-W51,Ireland,B2B,No ID,2
2683,3PD,2023-Q4,2023-W51,Italy,B2B,No ID,2
2684,3PD,2023-Q4,2023-W51,Japan,B2B,No ID,2
2685,3PD,2023-Q4,2023-W51,Japan,CSB,No ID,1
2686,3PD,2023-Q4,2023-W51,Malaysia,B2B,No ID,2
2687,3PD,2023-Q4,2023-W51,Malaysia,CSB,No ID,2
2688,3PD,2023-Q4,2023-W51,Mexico,B2B,No ID,2
2689,3PD,2023-Q4,2023-W51,Mexico,CSB,No ID,1
2690,3PD,2023-Q4,2023-W51,Netherlands,B2B,No ID,2
2691,3PD,2023-Q4,2023-W51,Netherlands,CSB,No ID,2
2692,3PD,2023-Q4,2023-W51,New Zealand,CSB,No ID,2
2693,3PD,2023-Q4,2023-W51,Singapore,B2B,No ID,2
2694,3PD,2023-Q4,2023-W51,Singapore,CSB,No ID,2
2695,3PD,2023-Q4,2023-W51,South Africa,B2B,No ID,1
2696,3PD,2023-Q4,2023-W51,Spain,B2B,No ID,2
2697,3PD,2023-Q4,2023-W51,Spain,CSB,No ID,2
2698,3PD,2023-Q4,2023-W51,Sweden,B2B,No ID,2
2699,3PD,2023-Q4,2023-W51,Sweden,CSB,No ID,1
2700,3PD,2023-Q4,2023-W51,Switzerland,B2B,No ID,2
2701,3PD,2023-Q4,2023-W51,Switzerland,CSB,No ID,2
2702,3PD,2023-Q4,2023-W51,United Kingdom,B2B,No ID,2
2703,3PD,2023-Q4,2023-W51,United Kingdom,CSB,No ID,2
2704,3PD,2023-Q4,2023-W51,United States,B2B,No ID,2
2705,3PD,2023-Q4,2023-W51,United States,CSB,Have ID,2
2706,3PD,2023-Q4,2023-W51,United States,CSB,No ID,2
2707,3PD,2023-Q4,2023-W52,Australia,B2B,No ID,2
2708,3PD,2023-Q4,2023-W52,Australia,CSB,No ID,2
2709,3PD,2023-Q4,2023-W52,Austria,B2B,No ID,1
2710,3PD,2023-Q4,2023-W52,Belgium,B2B,No ID,2
2711,3PD,2023-Q4,2023-W52,Brazil,B2B,No ID,1
2712,3PD,2023-Q4,2023-W52,Canada,B2B,No ID,2
2713,3PD,2023-Q4,2023-W52,Canada,CSB,No ID,2
2714,3PD,2023-Q4,2023-W52,France,B2B,No ID,2
2715,3PD,2023-Q4,2023-W52,France,CSB,No ID,2
2716,3PD,2023-Q4,2023-W52,Germany,B2B,No ID,2
2717,3PD,2023-Q4,2023-W52,Germany,CSB,No ID,2
2718,3PD,2023-Q4,2023-W52,India,B2B,No ID,2
2719,3PD,2023-Q4,2023-W52,India,CSB,No ID,2
2720,3PD,2023-Q4,2023-W52,Ireland,B2B,No ID,2
2721,3PD,2023-Q4,2023-W52,Italy,B2B,No ID,2
2722,3PD,2023-Q4,2023-W52,Japan,B2B,No ID,2
2723,3PD,2023-Q4,2023-W52,Japan,CSB,No ID,1
2724,3PD,2023-Q4,2023-W52,Malaysia,B2B,No ID,2
2725,3PD,2023-Q4,2023-W52,Malaysia,CSB,No ID,2
2726,3PD,2023-Q4,2023-W52,Mexico,B2B,No ID,2
2727,3PD,2023-Q4,2023-W52,Mexico,CSB,No ID,1
2728,3PD,2023-Q4,2023-W52,Netherlands,B2B,No ID,2
2729,3PD,2023-Q4,2023-W52,Netherlands,CSB,No ID,2
2730,3PD,2023-Q4,2023-W52,New Zealand,CSB,No ID,2
2731,3PD,2023-Q4,2023-W52,Singapore,B2B,No ID,2
2732,3PD,2023-Q4,2023-W52,Singapore,CSB,No ID,2
2733,3PD,2023-Q4,2023-W52,South Africa,B2B,No ID,1
2734,3PD,2023-Q4,2023-W52,Spain,B2B,No ID,2
2735,3PD,2023-Q4,2023-W52,Spain,CSB,No ID,2
2736,3PD,2023-Q4,2023-W52,Sweden,B2B,No ID,2
2737,3PD,2023-Q4,2023-W52,Sweden,CSB,No ID,2
2738,3PD,2023-Q4,2023-W52,Switzerland,B2B,No ID,2
2739,3PD,2023-Q4,2023-W52,Switzerland,CSB,No ID,2
2740,3PD,2023-Q4,2023-W52,United Kingdom,B2B,No ID,2
2741,3PD,2023-Q4,2023-W52,United Kingdom,CSB,No ID,2
2742,3PD,2023-Q4,2023-W52,United States,B2B,No ID,2
2743,3PD,2023-Q4,2023-W52,United States,CSB,Have ID,3
2744,3PD,2023-Q4,2023-W52,United States,CSB,No ID,2
2745,3PD,2023-Q4,2023-W53,Australia,B2B,Have ID,4
2746,3PD,2023-Q4,2023-W53,Australia,B2B,No ID,2
2747,3PD,2023-Q4,2023-W53,Australia,CSB,No ID,2
2748,3PD,2023-Q4,2023-W53,Belgium,B2B,No ID,2
2749,3PD,2023-Q4,2023-W53,Brazil,B2B,No ID,1
2750,3PD,2023-Q4,2023-W53,Canada,B2B,No ID,2
2751,3PD,2023-Q4,2023-W53,Canada,CSB,No ID,2
2752,3PD,2023-Q4,2023-W53,France,B2B,No ID,2
2753,3PD,2023-Q4,2023-W53,France,CSB,No ID,2
2754,3PD,2023-Q4,2023-W53,Germany,B2B,No ID,2
2755,3PD,2023-Q4,2023-W53,Germany,CSB,No ID,2
2756,3PD,2023-Q4,2023-W53,India,B2B,Have ID,4
2757,3PD,2023-Q4,2023-W53,India,B2B,No ID,2
2758,3PD,2023-Q4,2023-W53,India,CSB,No ID,2
2759,3PD,2023-Q4,2023-W53,Ireland,B2B,No ID,2
2760,3PD,2023-Q4,2023-W53,Italy,B2B,No ID,2
2761,3PD,2023-Q4,2023-W53,Japan,B2B,Have ID,4
2762,3PD,2023-Q4,2023-W53,Japan,B2B,No ID,2
2763,3PD,2023-Q4,2023-W53,Japan,CSB,No ID,1
2764,3PD,2023-Q4,2023-W53,Malaysia,B2B,Have ID,1
2765,3PD,2023-Q4,2023-W53,Malaysia,B2B,No ID,2
2766,3PD,2023-Q4,2023-W53,Malaysia,CSB,No ID,2
2767,3PD,2023-Q4,2023-W53,Mexico,B2B,No ID,2
2768,3PD,2023-Q4,2023-W53,Mexico,CSB,No ID,1
2769,3PD,2023-Q4,2023-W53,Netherlands,B2B,No ID,2
2770,3PD,2023-Q4,2023-W53,Netherlands,CSB,No ID,2
2771,3PD,2023-Q4,2023-W53,New Zealand,CSB,No ID,2
2772,3PD,2023-Q4,2023-W53,Singapore,B2B,Have ID,2
2773,3PD,2023-Q4,2023-W53,Singapore,B2B,No ID,2
2774,3PD,2023-Q4,2023-W53,Singapore,CSB,No ID,2
2775,3PD,2023-Q4,2023-W53,Spain,B2B,No ID,2
2776,3PD,2023-Q4,2023-W53,Spain,CSB,No ID,2
2777,3PD,2023-Q4,2023-W53,Sweden,B2B,No ID,2
2778,3PD,2023-Q4,2023-W53,Sweden,CSB,No ID,1
2779,3PD,2023-Q4,2023-W53,Switzerland,B2B,No ID,2
2780,3PD,2023-Q4,2023-W53,Switzerland,CSB,No ID,2
2781,3PD,2023-Q4,2023-W53,United Kingdom,B2B,No ID,2
2782,3PD,2023-Q4,2023-W53,United Kingdom,CSB,No ID,2
2783,3PD,2023-Q4,2023-W53,United States,B2B,No ID,2
2784,3PD,2023-Q4,2023-W53,United States,CSB,Have ID,3
2785,3PD,2023-Q4,2023-W53,United States,CSB,No ID,2
2786,3PD,2024-Q1,2024-W01,Australia,B2B,Have ID,4
2787,3PD,2024-Q1,2024-W01,Australia,B2B,No ID,2
2788,3PD,2024-Q1,2024-W01,Australia,CSB,No ID,2
2789,3PD,2024-Q1,2024-W01,Belgium,B2B,No ID,2
2790,3PD,2024-Q1,2024-W01,Brazil,B2B,No ID,2
2791,3PD,2024-Q1,2024-W01,Canada,B2B,No ID,2
2792,3PD,2024-Q1,2024-W01,Canada,CSB,No ID,2
2793,3PD,2024-Q1,2024-W01,France,B2B,No ID,2
2794,3PD,2024-Q1,2024-W01,France,CSB,No ID,2
2795,3PD,2024-Q1,2024-W01,Germany,B2B,No ID,2
2796,3PD,2024-Q1,2024-W01,Germany,CSB,No ID,2
2797,3PD,2024-Q1,2024-W01,India,B2B,Have ID,4
2798,3PD,2024-Q1,2024-W01,India,B2B,No ID,2
2799,3PD,2024-Q1,2024-W01,India,CSB,No ID,2
2800,3PD,2024-Q1,2024-W01,Ireland,B2B,No ID,2
2801,3PD,2024-Q1,2024-W01,Italy,B2B,No ID,2
2802,3PD,2024-Q1,2024-W01,Japan,B2B,Have ID,4
2803,3PD,2024-Q1,2024-W01,Japan,B2B,No ID,2
2804,3PD,2024-Q1,2024-W01,Japan,CSB,No ID,1
2805,3PD,2024-Q1,2024-W01,Malaysia,B2B,Have ID,2
2806,3PD,2024-Q1,2024-W01,Malaysia,B2B,No ID,1
2807,3PD,2024-Q1,2024-W01,Malaysia,CSB,No ID,2
2808,3PD,2024-Q1,2024-W01,Mexico,B2B,No ID,2
2809,3PD,2024-Q1,2024-W01,Mexico,CSB,No ID,1
2810,3PD,2024-Q1,2024-W01,Netherlands,B2B,No ID,2
2811,3PD,2024-Q1,2024-W01,Netherlands,CSB,No ID,2
2812,3PD,2024-Q1,2024-W01,New Zealand,CSB,No ID,2
2813,3PD,2024-Q1,2024-W01,Singapore,B2B,Have ID,2
2814,3PD,2024-Q1,2024-W01,Singapore,B2B,No ID,2
2815,3PD,2024-Q1,2024-W01,Singapore,CSB,No ID,2
2816,3PD,2024-Q1,2024-W01,Spain,B2B,No ID,2
2817,3PD,2024-Q1,2024-W01,Spain,CSB,No ID,2
2818,3PD,2024-Q1,2024-W01,Sweden,B2B,No ID,2
2819,3PD,2024-Q1,2024-W01,Sweden,CSB,No ID,1
2820,3PD,2024-Q1,2024-W01,Switzerland,B2B,No ID,2
2821,3PD,2024-Q1,2024-W01,Switzerland,CSB,No ID,2
2822,3PD,2024-Q1,2024-W01,United Kingdom,B2B,No ID,2
2823,3PD,2024-Q1,2024-W01,United Kingdom,CSB,No ID,2
2824,3PD,2024-Q1,2024-W01,United States,B2B,No ID,2
2825,3PD,2024-Q1,2024-W01,United States,CSB,Have ID,2
2826,3PD,2024-Q1,2024-W01,United States,CSB,No ID,2
2827,3PD,2024-Q1,2024-W02,Australia,B2B,Have ID,4
2828,3PD,2024-Q1,2024-W02,Australia,B2B,No ID,2
2829,3PD,2024-Q1,2024-W02,Australia,CSB,No ID,2
2830,3PD,2024-Q1,2024-W02,Belgium,B2B,No ID,2
2831,3PD,2024-Q1,2024-W02,Brazil,B2B,No ID,2
2832,3PD,2024-Q1,2024-W02,Canada,B2B,No ID,2
2833,3PD,2024-Q1,2024-W02,Canada,CSB,No ID,2
2834,3PD,2024-Q1,2024-W02,France,B2B,No ID,2
2835,3PD,2024-Q1,2024-W02,France,CSB,No ID,2
2836,3PD,2024-Q1,2024-W02,Germany,B2B,No ID,2
2837,3PD,2024-Q1,2024-W02,Germany,CSB,No ID,2
2838,3PD,2024-Q1,2024-W02,India,B2B,Have ID,4
2839,3PD,2024-Q1,2024-W02,India,B2B,No ID,2
2840,3PD,2024-Q1,2024-W02,India,CSB,No ID,2
2841,3PD,2024-Q1,2024-W02,Ireland,B2B,No ID,2
2842,3PD,2024-Q1,2024-W02,Italy,B2B,No ID,2
2843,3PD,2024-Q1,2024-W02,Japan,B2B,Have ID,4
2844,3PD,2024-Q1,2024-W02,Japan,B2B,No ID,2
2845,3PD,2024-Q1,2024-W02,Japan,CSB,No ID,1
2846,3PD,2024-Q1,2024-W02,Malaysia,B2B,Have ID,1
2847,3PD,2024-Q1,2024-W02,Malaysia,B2B,No ID,2
2848,3PD,2024-Q1,2024-W02,Malaysia,CSB,No ID,2
2849,3PD,2024-Q1,2024-W02,Mexico,B2B,No ID,2
2850,3PD,2024-Q1,2024-W02,Mexico,CSB,No ID,1
2851,3PD,2024-Q1,2024-W02,Netherlands,B2B,No ID,2
2852,3PD,2024-Q1,2024-W02,Netherlands,CSB,No ID,2
2853,3PD,2024-Q1,2024-W02,New Zealand,CSB,No ID,2
2854,3PD,2024-Q1,2024-W02,Singapore,B2B,Have ID,3
2855,3PD,2024-Q1,2024-W02,Singapore,B2B,No ID,2
2856,3PD,2024-Q1,2024-W02,Singapore,CSB,No ID,2
2857,3PD,2024-Q1,2024-W02,Spain,B2B,No ID,2
2858,3PD,2024-Q1,2024-W02,Spain,CSB,No ID,2
2859,3PD,2024-Q1,2024-W02,Sweden,B2B,No ID,2
2860,3PD,2024-Q1,2024-W02,Sweden,CSB,No ID,1
2861,3PD,2024-Q1,2024-W02,Switzerland,B2B,No ID,2
2862,3PD,2024-Q1,2024-W02,Switzerland,CSB,No ID,2
2863,3PD,2024-Q1,2024-W02,United Kingdom,B2B,No ID,2
2864,3PD,2024-Q1,2024-W02,United Kingdom,CSB,No ID,2
2865,3PD,2024-Q1,2024-W02,United States,B2B,No ID,2
2866,3PD,2024-Q1,2024-W02,United States,CSB,Have ID,4
2867,3PD,2024-Q1,2024-W02,United States,CSB,No ID,2
2868,3PD,2024-Q1,2024-W03,Australia,B2B,Have ID,4
2869,3PD,2024-Q1,2024-W03,Australia,B2B,No ID,2
2870,3PD,2024-Q1,2024-W03,Australia,CSB,No ID,2
2871,3PD,2024-Q1,2024-W03,Austria,B2B,No ID,1
2872,3PD,2024-Q1,2024-W03,Belgium,B2B,No ID,2
2873,3PD,2024-Q1,2024-W03,Brazil,B2B,No ID,2
2874,3PD,2024-Q1,2024-W03,Canada,B2B,No ID,2
2875,3PD,2024-Q1,2024-W03,Canada,CSB,No ID,2
2876,3PD,2024-Q1,2024-W03,France,B2B,No ID,2
2877,3PD,2024-Q1,2024-W03,France,CSB,No ID,2
2878,3PD,2024-Q1,2024-W03,Germany,B2B,No ID,2
2879,3PD,2024-Q1,2024-W03,Germany,CSB,No ID,2
2880,3PD,2024-Q1,2024-W03,India,B2B,Have ID,4
2881,3PD,2024-Q1,2024-W03,India,B2B,No ID,2
2882,3PD,2024-Q1,2024-W03,India,CSB,No ID,2
2883,3PD,2024-Q1,2024-W03,Ireland,B2B,No ID,2
2884,3PD,2024-Q1,2024-W03,Italy,B2B,No ID,2
2885,3PD,2024-Q1,2024-W03,Japan,B2B,Have ID,4
2886,3PD,2024-Q1,2024-W03,Japan,B2B,No ID,2
2887,3PD,2024-Q1,2024-W03,Malaysia,B2B,Have ID,2
2888,3PD,2024-Q1,2024-W03,Malaysia,B2B,No ID,2
