,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
166,1PD,2023-Q3,2023-W35,United States,CSB,No ID,2
167,1PD,2023-Q3,2023-W36,Australia,B2B,No ID,1
168,1PD,2023-Q3,2023-W36,Canada,B2B,No ID,1
169,1PD,2023-Q3,2023-W36,Canada,CSB,No ID,2
170,1PD,2023-Q3,2023-W36,France,CSB,No ID,1
171,1PD,2023-Q3,2023-W36,Germany,CSB,No ID,2
172,1PD,2023-Q3,2023-W36,India,B2B,No ID,1
173,1PD,2023-Q3,2023-W36,India,CSB,No ID,1
174,1PD,2023-Q3,2023-W36,Japan,B2B,No ID,1
175,1PD,2023-Q3,2023-W36,Japan,CSB,No ID,2
176,1PD,2023-Q3,2023-W36,Malaysia,B2B,No ID,1
177,1PD,2023-Q3,2023-W36,Netherlands,CSB,No ID,2
178,1PD,2023-Q3,2023-W36,Singapore,B2B,No ID,1
179,1PD,2023-Q3,2023-W36,Spain,CSB,No ID,2
180,1PD,2023-Q3,2023-W36,Sweden,CSB,No ID,2
181,1PD,2023-Q3,2023-W36,Switzerland,CSB,No ID,2
182,1PD,2023-Q3,2023-W36,United Kingdom,CSB,No ID,2
183,1PD,2023-Q3,2023-W36,United States,B2B,No ID,1
184,1PD,2023-Q3,2023-W36,United States,CSB,No ID,2
185,1PD,2023-Q3,2023-W37,Australia,B2B,No ID,1
186,1PD,2023-Q3,2023-W37,Canada,B2B,No ID,1
187,1PD,2023-Q3,2023-W37,Canada,CSB,No ID,2
188,1PD,2023-Q3,2023-W37,France,CSB,No ID,1
189,1PD,2023-Q3,2023-W37,Germany,CSB,No ID,2
190,1PD,2023-Q3,2023-W37,India,B2B,No ID,1
191,1PD,2023-Q3,2023-W37,India,CSB,No ID,1
192,1PD,2023-Q3,2023-W37,Japan,B2B,No ID,1
193,1PD,2023-Q3,2023-W37,Japan,CSB,No ID,2
194,1PD,2023-Q3,2023-W37,Malaysia,B2B,No ID,1
195,1PD,2023-Q3,2023-W37,Netherlands,CSB,No ID,2
196,1PD,2023-Q3,2023-W37,Singapore,B2B,No ID,1
197,1PD,2023-Q3,2023-W37,Spain,CSB,No ID,2
198,1PD,2023-Q3,2023-W37,Sweden,CSB,No ID,2
199,1PD,2023-Q3,2023-W37,Switzerland,CSB,No ID,2
200,1PD,2023-Q3,2023-W37,United Kingdom,CSB,No ID,2
201,1PD,2023-Q3,2023-W37,United States,B2B,No ID,1
202,1PD,2023-Q3,2023-W37,United States,CSB,No ID,2
203,1PD,2023-Q3,2023-W38,Australia,B2B,No ID,1
204,1PD,2023-Q3,2023-W38,Canada,B2B,No ID,1
205,1PD,2023-Q3,2023-W38,Canada,CSB,No ID,2
206,1PD,2023-Q3,2023-W38,France,CSB,No ID,2
207,1PD,2023-Q3,2023-W38,Germany,CSB,No ID,2
208,1PD,2023-Q3,2023-W38,India,B2B,No ID,1
209,1PD,2023-Q3,2023-W38,India,CSB,No ID,1
210,1PD,2023-Q3,2023-W38,Japan,B2B,No ID,1
211,1PD,2023-Q3,2023-W38,Japan,CSB,No ID,2
212,1PD,2023-Q3,2023-W38,Malaysia,B2B,No ID,1
213,1PD,2023-Q3,2023-W38,Netherlands,CSB,No ID,2
214,1PD,2023-Q3,2023-W38,Singapore,B2B,No ID,1
215,1PD,2023-Q3,2023-W38,Spain,CSB,No ID,2
216,1PD,2023-Q3,2023-W38,Sweden,CSB,No ID,2
217,1PD,2023-Q3,2023-W38,Switzerland,CSB,No ID,2
218,1PD,2023-Q3,2023-W38,United Kingdom,B2B,No ID,1
219,1PD,2023-Q3,2023-W38,United Kingdom,CSB,No ID,2
220,1PD,2023-Q3,2023-W38,United States,B2B,No ID,1
